epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5771131,1.0780842420789931,0.001,0.699364,0.7160320687294006
1,0.7273667,0.6534092619684008,0.001,0.77882,0.5240072259902954
2,0.80868864,0.46405004224512314,0.001,0.878014,0.3218290014266968
3,0.894776,0.28061014886697133,0.001,0.95106,0.14362285447120665
4,0.9414269,0.15876787685685687,0.001,0.961326,0.1079038102030754
5,0.94999665,0.13233723264270358,0.001,0.96431,0.09712235021591187
6,0.9530018,0.12287688437435362,0.001,0.966232,0.09077711349725723
7,0.9548629,0.11687944194343355,0.001,0.9643,0.09386004465818405
8,0.95669913,0.11185762618647681,0.001,0.966486,0.08826927030086518
9,0.9579171,0.10886668318510055,0.001,0.96763,0.08460354804992676
10,0.95911044,0.10549627849790785,0.001,0.96835,0.08284586787223816
11,0.9589376,0.10602170667383407,0.001,0.967986,0.08429493689537049
12,0.9599669,0.10308328514628941,0.001,0.968542,0.08194743609428405
13,0.96070623,0.10127938408321804,0.001,0.968708,0.08127724355459214
14,0.96153086,0.09921772311793434,0.001,0.968924,0.08060384076833725
15,0.96195287,0.09795163689719306,0.001,0.969282,0.07954505300521851
16,0.9624009,0.09685692257020209,0.001,0.968966,0.08026296728849411
17,0.96263975,0.09625422911511528,0.001,0.967364,0.08406383776664735
18,0.96254176,0.09634811555014716,0.001,0.968732,0.0805368481874466
19,0.9628069,0.09558829945656988,0.001,0.96875,0.08060468357801437
20,0.9632587,0.09466901565922631,0.001,0.969442,0.07859674084186553
21,0.96291935,0.09522938709126579,0.001,0.96814,0.0817352151274681
22,0.96338886,0.0942900072866016,0.001,0.969524,0.07905623257160187
23,0.9639642,0.09269980072312885,0.001,0.969494,0.07875375103950501
24,0.9636538,0.09341208538744185,0.001,0.96943,0.07892787635326386
25,0.96404934,0.09267390991581811,0.001,0.96936,0.07885387492179871
26,0.96409535,0.09256277179718017,0.001,0.969734,0.07808044117689132
27,0.9643569,0.09178032945924335,0.001,0.968174,0.08173808139562606
28,0.9645911,0.09114525372452206,0.001,0.970102,0.07702148777246476
29,0.9647671,0.09084710452953974,0.001,0.969872,0.07735650897026063
